,count,mean,std,min,25%,50%,75%,95%,max,% missing,BIS_limit
pH,41283.0,8.032,36.386,0.0,7.5,7.94,8.26,8.6,7358.0,2.5,8.5
dissolved_oxygen,22055.0,6.576,1.486,0.0,5.97,6.7,7.4,8.49,60.0,47.9,6
TDS,11634.0,246.99,252.541,0.0,67.775,191.7,344.0,696.35,8954.0,72.5,500
nitrates,25340.0,0.945,2.779,0.0,0.14,0.448,0.995,3.124,322.511,40.1,45
ammonia,19327.0,0.141,3.126,-0.03,0.0,0.007,0.1,0.45,308.88,54.3,0.5
phosphate,15489.0,0.118,0.554,0.0,0.001,0.01,0.08,0.42,37.0,63.4,0.1
chloride,38138.0,43.482,147.08,0.0,12.07,22.72,50.448,137.524,16721.47,9.9,250
sulphate,34947.0,32.757,56.199,0.0,4.3,13.584,35.52,136.0,1800.0,17.4,200
total_hardness,37501.0,124.664,97.816,0.0,59.449,116.808,168.667,262.469,4017.25,11.4,300
calcium,38039.0,25.199,18.119,0.0,12.6,24.0,33.96,53.0,858.51,10.1,—
magnesium,38030.0,14.553,16.81,0.0,4.86,11.0,20.048,37.901,947.7,10.2,—
arsenic,984.0,2.845,5.004,-0.5,0.168,1.253,3.612,9.9,55.31,97.7,0.01
lead,1172.0,5.687,14.292,-0.5,0.107,1.151,4.0,28.0,180.0,97.2,0.01
iron,23662.0,0.164,1.69,-0.01,0.01,0.04,0.149,0.522,218.0,44.1,0.3
manganese,126.0,0.002,0.005,0.0,0.0,0.0,0.0,0.01,0.026,99.7,0.1
WQI,42327.0,34.093,7.452,0.0,30.844,34.081,37.597,45.536,72.498,0.0,—
